foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
MN1,Appetizer,Grilled Hummus,20.8,4.5,100,1,11,1
MN2,Appetizer,Fattoush Salad,30.6,4.6,120,1,12,1
MN3,Appetizer,Baba Ghanoush,35.8,4.4,130,1,9,1
MN4,Appetizer,Falafel,25.4,4.3,110,1,8,1
MN5,Appetizer,Moutabbalat,25.9,4.7,110,1,7,1
MN6,Main,Chicken Kabsa,150.2,4.8,300,0,9,2
MN7,Main,Mujadara,200.2,4.7,350,1,5,2
MN8,Main,Fried Fish,120.7,4.6,250,0,7,2
MN9,Main,Lentil Fattah,140.3,4.5,280,1,6,2
MN10,Main,Kofta,220.1,4.6,380,0,8,2
MN11,rice,Chicken Mandi,130.9,4.4,400,0,7,3
MN12,rice,Burgul with Vegetables,180.2,4.7,450,1,8,3
MN13,rice,Mutton Biryani,220.2,4.8,500,0,9,3
MN14,rice,Egg Biryani,150.1,4.5,420,0,12,3
MN15,rice,Paneer Biryani,160.3,4.6,430,1,6,3
MN16,Dessert,Knafeh,20.1,4.5,150,1,8,4
MN17,Dessert,Qatayef,180.1,4.7,200,1,7,4
MN18,Dessert,Muhallabia,160.7,4.8,180,1,9,4
MN19,Dessert,Zalabia,25.8,4.4,120,1,3,4
MN20,Dessert,Tahini Halva,40.5,4.6,130,1,5,4
