foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
cjb1,Burger,Classic Cheeseburger,150.8,4.5,500,1,11,1
cjb2,Burger,Spicy Chicken Burger,180.3,4.7,550,0,10,1
cjb3,Burger,Veggie Delight Burger,130.2,4.6,450,1,7,1
cjb4,Burger,Double Bacon Burger,200.1,4.8,600,0,6,1
cjb5,Burger,Mushroom Swiss Burger,170.9,4.4,520,1,5,1
cjb6,Side,French Fries,70.4,4.3,300,1,7,2
cjb7,Side,Onion Rings,90.5,4.2,350,1,8,2
cjb8,Side,Cheese Fries,100.8,4.5,400,1,6,2
cjb9,Side,Garlic Parmesan Fries,110.1,4.4,380,1,8,2
cjb10,Side,Sweet Potato Fries,120.6,4.6,350,1,9,2
cjb11,Beverage,Cola,50.4,4,200,1,7,3
cjb12,Beverage,Lemonade,60.4,4.2,180,1,5,3
cjb13,Beverage,Iced Tea,70.7,4.1,220,1,6,3
cjb14,Beverage,Milkshake,100.1,4.5,300,1,8,3
cjb15,Beverage,Orange Juice,80.1,4.3,250,1,9,3
cjb16,Dessert,Classic Chocolate Shake,120.3,4.6,350,1,5,4
cjb17,Dessert,Oreo Cookie Sundae,150.7,4.7,400,1,4,4
cjb18,Dessert,Caramel Brownie Sundae,140.3,4.5,380,1,6,4
cjb19,Dessert,New York Cheesecake,130.3,4.4,320,1,7,4
cjb20,Dessert,Apple Pie,110.3,4.3,300,1,8,4
