foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
CW1,Appetizer,Spring Rolls,120.70,4.50,150,1,10,1
CW2,Appetizer,Chicken Satay,140.20,4.60,180,0,14,1
CW3,Appetizer,Prawn Crackers,100.50,4.30,120,0,15,1
CW4,Appetizer,Dim Sum Platter,160.40,4.70,200,1,14,1
CW5,Appetizer,Hot and Sour Soup,90.60,4.40,130,1,6,1
CW6,Main Course,Kung Pao Chicken,200.50,4.80,250,0,7,2
CW7,Main Course,Sweet and Sour Pork,220.60,4.70,280,0,12,2
CW8,Main Course,Beef with Broccoli,210.30,4.60,270,0,10,2
CW9,Main Course,Vegetable Chow Mein,180.90,4.50,220,1,6,2
CW10,Main Course,Shrimp Fried Rice,230.10,4.90,300,0,6,2
CW11,Dessert,Fried Ice Cream,150.70,4.60,200,1,13,3
CW12,Dessert,Mango Pudding,130.30,4.50,180,1,8,3
CW13,Dessert,Almond Jelly,120.60,4.40,160,1,9,3
CW14,Dessert,Sesame Balls,140.40,4.70,190,1,8,3
CW15,Dessert,Fortune Cookies,80.70,4.20,120,1,11,3
CW16,Momos,Chicken Momos,120.40,4.60,200,1,6,4
CW17,Momos,Veg Momos,100.50,4.40,180,0,8,4
CW18,Momos,Paneer Momos,130.30,4.70,210,1,14,4
CW19,Momos,Pork Momos,140.70,4.50,220,0,12,4
CW20,Momos,Tofu Momos,110.10,4.30,190,1,11,4
