foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
DE1,Roti,Tandoori Roti,20.9,4.5,100,1,11,1
DE2,Roti,Butter Naan,30.1,4.6,120,1,10,1
DE3,Roti,Garlic Naan,35.5,4.4,130,1,9,1
DE4,Roti,Roomali Roti,25.2,4.3,110,1,8,1
DE5,Roti,Kulcha,25.4,4.7,110,1,7,1
DE6,Curry,Paneer Tikka Masala,150.8,4.8,300,1,6,2
DE7,Curry,Butter Chicken,200.3,4.7,350,0,5,2
DE8,Curry,Chana Masala,120.5,4.6,250,1,7,2
DE9,Curry,Aloo Gobi,140.5,4.5,280,1,8,2
DE10,Curry,Chicken Curry,220.2,4.6,380,0,9,2
DE11,Thali,Vegetarian Thali,180.7,4.4,500,1,5,3
DE12,Thali,Non-Vegetarian Thali,250.8,4.7,650,0,6,3
DE13,Thali,Special Dal Thali,200.2,4.6,550,1,7,3
DE14,Thali,Paneer Thali,220.1,4.8,600,1,8,3
DE15,Thali,Mixed Grill Thali,300.7,4.9,700,0,9,3
DE16,Appetizer,Vegetable Pakora,40.6,4.5,150,1,4,4
DE17,Appetizer,Chicken Tikka,180.6,4.7,200,0,5,4
DE18,Appetizer,Paneer Tikka,160.6,4.8,180,1,6,4
DE19,Appetizer,Samosa,25.6,4.4,120,1,7,4
DE20,Appetizer,Fish Fry,50.6,4.6,130,0,8,4
