foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
mc1,Burger,McAloo Tikki Burger,55,4.2,300,1,11,1
mc2,Burger,McSpicy Paneer Burger,110.2,4.4,400,1,10,1
mc3,Burger,McVeggie Burger,85.5,4.3,350,1,9,1
mc4,Burger,McChicken Burger,90.6,4.1,380,0,5,1
mc5,Burger,Chicken Maharaja Mac,180.7,4.5,550,0,6,1
mc6,Appetizer,McAloo Tikki,40.6,4,200,1,7,2
mc7,Appetizer,McNuggets (6 pieces),120.8,4.2,280,0,7,2
mc8,Appetizer,Masala Wedges,60.5,4.1,220,1,8,2
mc9,Appetizer,McWings (4 pieces),100.8,4.3,300,0,4,2
mc10,Appetizer,McPaneer Pockets,80.7,4.4,250,1,3,2
mc11,Drink,Coca-Cola,40.8,4.5,150,1,9,3
mc12,Drink,Fanta,40.2,4.4,140,1,11,3
mc13,Drink,McFloat,60.3,4.3,200,1,12,3
mc14,Drink,Iced Tea,50.2,4.2,180,1,13,3
mc15,Drink,Cold Coffee,70.1,4.1,220,1,14,3
mc16,Dessert,Soft Serve Cone,25.7,4,120,1,11,4
mc17,Dessert,McSwirl,45.9,4.1,180,1,10,4
mc18,Dessert,McFlurry Oreo,65.4,4.3,250,1,6,4
mc19,Dessert,Chocolate Brownie,55.7,4.2,220,1,5,4
mc20,Dessert,Apple Pie,35.5,4.4,200,1,4,4
