foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
PP1,Starter,Vegetable Spring Rolls,90.70,2.51,160,1,29,1
PP2,Starter,Prawn Crackers,80.10,4.10,150,0,11,1
PP3,Starter,Szechuan Chicken,120.80,4.47,180,0,8,1
PP4,Starter,Pork Dumplings,100.10,4.33,170,0,9,1
PP5,Starter,Hot and Sour Soup,110.80,4.18,175,1,14,1
PP6,Main Course,Kung Pao Chicken,180.90,4.70,250,0,5,2
PP7,Main Course,Sweet and Sour Pork,200.10,4.72,280,0,16,2
PP8,Main Course,Beijing Duck,250.30,4.90,350,0,9,2
PP9,Main Course,Vegetable Chow Mein,150.40,4.50,220,1,6,2
PP10,Main Course,Mapo Tofu,170.60,4.60,240,1,15,2
PP11,Noodles,Chicken Hakka Noodles,160.20,4.40,230,0,15,3
PP12,Noodles,Vegetable Chow Fun,140.50,4.30,210,1,15,3
PP13,Noodles,Beef Lo Mein,180.60,4.60,250,0,7,3
PP14,Noodles,Singapore Noodles,170.70,4.50,240,1,5,3
PP15,Noodles,Shrimp Pad Thai,190.70,4.10,260,0,18,3
PP16,Momos,Chicken Momos,120.90,2.94,180,0,20,4
PP17,Momos,Vegetable Momos,100.90,4.10,160,1,7,4
PP18,Momos,Pork Momos,130.70,4.30,190,0,7,4
PP19,Momos,Tofu Momos,110.90,4.00,170,1,12,4
PP20,Momos,Paneer Momos,140.00,4.15,200,1,17,4
