foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
ph1,Pizza,Margherita,299.9,4.5,200,1,3,1
ph2,Pizza,Supreme,549.5,4.4,300,1,4,1
ph3,Pizza,Pepperoni,449.8,4.6,350,0,5,1
ph4,Pizza,Veggie Lover's,499.5,4.7,400,1,6,1
ph5,Pizza,Chicken BBQ,599.9,4.3,450,0,7,1
ph6,Side,Garlic Breadsticks,129.3,4.2,150,1,8,2
ph7,Side,Cheesy Dip,79.9,4,80,1,9,2
ph8,Side,Potato Wedges,149.6,4.3,200,1,10,2
ph9,Side,Garlic Bread,99.4,4.1,120,1,11,2
ph10,Side,Veg Parcel,119.5,4.4,180,1,12,2
ph11,Beverage,Pepsi,40.8,4.5,150,1,11,3
ph12,Beverage,Coca-Cola,40.1,4.4,140,1,10,3
ph13,Beverage,Fanta,40.9,4.3,160,1,9,3
ph14,Beverage,Lemonade,50.2,4.2,130,1,7,3
ph15,Beverage,Iced Tea,50.8,4.1,170,1,6,3
ph16,Dessert,Choco Lava Cake,109.7,4.6,250,1,9,4
ph17,Dessert,Butterscotch Mousse Cake,119.8,4.5,280,1,5,4
ph18,Dessert,Brownie Fantasy,99.4,4.4,220,1,3,4
ph19,Dessert,Dutch Truffle,109.9,4.3,240,1,7,4
ph20,Dessert,Black Forest,99.4,4.2,200,1,8,4
